constituentDate,bondIdentifier,weight,notional,marketValue,ytm,duration,bondRating,country,coupon,currency,bondType,sector
30/11/22,B1287960349230,0.000553264,400000000,229702107.1,5.642110628,3.977214719,A,AU,3.625,USD,Corporates,Real Estate
30/11/22,B1287960268887,0.000832633,600000000,345689695.1,5.486150723,3.59648102,A,AU,3.4,USD,Corporates,Real Estate
30/11/22,B1287960162729,0.000860274,600000000,357165363.2,5.769890086,2.112853237,A,AU,3.5,USD,Corporates,Real Estate
30/11/22,B1287960521488,0.000686112,500000000,284857447.1,5.803582941,7.634891618,BBB,AU,4.625,USD,Corporates,Real Estate
30/11/22,B1287960491135,0.000782759,350000000,324982945,6.32718174,4.210292859,,PH,4.125,USD,Corporates,Real Estate
30/11/22,B1287960346506,0.000387113,500000000,160720270.4,4.880440324,4.24162287,A,JP,3.65,USD,Corporates,Real Estate
31/12/22,B1287960522959,0.001060054,500000000,438939419.1,5.282336307,2.358107231,AA,KR,3.125,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960255123,0.001650088,1000000000,683256174.9,5.285084467,2.739732811,AA,KR,3.25,USD,Sovereigns & Sub-Sovereigns,Agencies
30/11/22,B1287960262544,0.000550099,400000000,228388000.3,7.192691994,3.254903985,BBB,AU,4.5,USD,Corporates,Real Estate
30/11/22,B1287960487546,0.000996551,750000000,413744434.7,6.249394796,6.396326839,A,AU,4.375,USD,Corporates,Real Estate
31/12/22,B1287960473001,0.000691314,300000000,286253993.3,4.965647134,1.667887747,AAA,SG,1.733,USD,Sovereigns & Sub-Sovereigns,Other Sub-Sovereigns
30/11/22,B1287960487544,0.001054109,750000000,437640939.4,5.944673163,2.971511011,A,AU,3.625,USD,Corporates,Real Estate
30/11/22,B1287960490530,0.000983771,420000000,408438599.3,8.823557332,3.896269322,,PH,7.25,USD,Corporates,Real Estate
30/11/22,B1287960372369,0.000668907,300000000,277714200,5.094834959,5.662916222,A,SG,3.609,USD,Corporates,Real Estate
30/11/22,B1287960516732,0.000200786,300000000,83361495.44,5.047943671,7.996123468,A,JP,2.572,USD,Corporates,Real Estate
31/12/22,B1287960349271,0.000699183,525000000,289512583.6,6.026418868,4.702117851,BBB,AU,3.7,USD,Corporates,Real Estate
31/12/22,B1287960493844,0.001979736,1500000000,819754443.2,8.079507354,3.401223481,BBB,AU,4.75,USD,Corporates,Real Estate
31/12/22,B1287960493846,0.001867325,1500000000,773208149.9,8.086117369,6.243839516,BBB,AU,5.125,USD,Corporates,Real Estate
31/12/22,B1287960277986,0.000681741,500000000,282290401.5,6.049794737,3.895124105,A,AU,3.75,USD,Corporates,Real Estate
31/12/22,B1287960352223,0.000800211,350000000,331345388.9,9.354003981,1.825825571,,PH,5.75,USD,Corporates,Real Estate
31/12/22,B1287960349289,0.000399532,325000000,165435112.9,6.392644012,10.40182223,BBB,AU,4.5,USD,Corporates,Real Estate
31/12/22,B1287960230682,0.00068838,500000000,285039241.2,5.76200512,2.705445514,A,AU,3.25,USD,Corporates,Real Estate
31/12/22,B1287960254233,0.001271307,600000000,526413465.2,5.511718278,2.630946598,AA,KR,3.25,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960369233,0.00023394,300000000,96867938.45,4.906359169,5.340208779,A,JP,3.95,USD,Corporates,Real Estate
31/12/22,B1287960349230,0.000545062,400000000,225695380.8,5.783469393,3.892773167,A,AU,3.625,USD,Corporates,Real Estate
31/12/22,B1287960268887,0.000819421,600000000,339299943.3,5.665907534,3.512217203,A,AU,3.4,USD,Corporates,Real Estate
31/12/22,B1287960162729,0.000850502,600000000,352169643.3,5.728682142,2.029568341,A,AU,3.5,USD,Corporates,Real Estate
31/12/22,B1287960478943,0.00213917,1000000000,885771533.3,5.590335223,6.182436471,BBB,IN,3.25,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960521488,0.000667728,500000000,276487706.7,5.993572451,7.536613252,BBB,AU,4.625,USD,Corporates,Real Estate
31/12/22,B1287960491135,0.000786745,350000000,325769535,6.312006906,4.127140819,,PH,4.125,USD,Corporates,Real Estate
31/12/22,B1287960346506,0.000387706,500000000,160538436.6,4.976699595,4.157258001,A,JP,3.65,USD,Corporates,Real Estate
31/12/22,B1287960186332,0.002103523,1250000000,871011060.3,5.043020879,1.986366783,AA,KR,2.875,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960262544,0.00054264,400000000,224692474,7.153012246,3.171741309,BBB,AU,4.5,USD,Corporates,Real Estate
31/12/22,B1287960487546,0.000979408,750000000,405546207.5,6.403872295,6.306747519,A,AU,4.375,USD,Corporates,Real Estate
31/12/22,B1287960487544,0.001048976,750000000,434352310.9,5.756323874,2.888854113,A,AU,3.625,USD,Corporates,Real Estate
31/12/22,B1287960490530,0.001000622,420000000,414330093.3,8.663358401,3.815693319,,PH,7.25,USD,Corporates,Real Estate
31/12/22,B1287960270776,0.001286394,1800000000,532660677.4,4.795946352,3.68024517,A,JP,2.25,USD,Sovereigns & Sub-Sovereigns,Agencies
31/12/22,B1287960372369,0.000671481,300000000,278041950,5.233017301,5.576361403,A,SG,3.609,USD,Corporates,Real Estate
31/12/22,B1287960516732,0.000200051,300000000,82835503.83,5.174283346,7.905544911,A,JP,2.572,USD,Corporates,Real Estate
31/12/22,B1287960520758,0.000891678,425000000,369219430.1,5.938614791,3.943349022,A,KR,4.125,USD,Sovereigns & Sub-Sovereigns,Agencies
30/09/22,B1287960498832,0.000622764,300000000,259397916.7,7.615968103,3.152530509,BBB,ID,2.75,USD,Corporates,Technology
30/09/22,B1287960513363,0.000801832,400000000,333984444.4,7.392004082,4.249024548,BBB,ID,2.8,USD,Corporates,Technology
